,,,under tree,under tree,under tree,under tree,open,open,open,open,open,open,,,,,
,,DEPTHS( cm),5,5,10,20,5,10,20,70,100,130,,,,,
Year,DOY,precip (mm),vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,averageShallow,averageDeep,shallowMinusDeep,maxAirTemp,minAirTemp
2015,1,3.556,0.099002882,0.130376026,0.123729673,0.071152293,0.116014705,0.123140819,0.16946251,0.057585232,0.050754882,0.052697968,0.118982701,0.053679361,0.065303341,5.049,-4.549
2015,2,0,0.095230302,0.118264007,0.118221713,0.086962244,0.106307521,0.113079933,0.157527917,0.057548396,0.050802334,0.05269457,0.113656234,0.053681767,0.059974467,4.64,-3.641
2015,3,0,0.093450922,0.112305351,0.114401205,0.092765983,0.095721745,0.105484838,0.151479253,0.057481433,0.050755274,0.052678082,0.109372757,0.053638263,0.055734494,9.1,-4.116
2015,4,0,0.092207942,0.107998122,0.112110213,0.09240069,0.094581007,0.103602213,0.147656511,0.057429362,0.05074885,0.052669902,0.107222386,0.053616038,0.053606347,18.08,-1.661
2015,5,0,0.091005052,0.104044949,0.110389815,0.091183522,0.09328892,0.10159359,0.144549292,0.057383563,0.050746428,0.052714366,0.105150734,0.053614785,0.051535949,22.71,6.319
2015,6,0,0.08979738,0.100585591,0.108461151,0.089410129,0.090267493,0.098286492,0.14163777,0.057429882,0.050687257,0.05268894,0.102635144,0.053602026,0.049033117,24.49,5.603
2015,7,0,0.088687776,0.097326101,0.106649481,0.087283981,0.087248291,0.094878855,0.139000266,0.057533282,0.050717658,0.052660733,0.100153536,0.053637225,0.046516311,22.66,12.14
2015,8,4.064,0.087980803,0.094891682,0.104843955,0.085195898,0.098706421,0.105219046,0.139433867,0.05755568,0.050691408,0.052707435,0.102324525,0.053651508,0.048673017,16.01,9.22
2015,9,0,0.087491019,0.093140157,0.10340623,0.083144573,0.102021413,0.110548517,0.147134301,0.057692004,0.050737989,0.052680917,0.103840887,0.053703636,0.050137251,19.92,8.88
2015,10,0,0.086739866,0.091311879,0.102028769,0.081281352,0.096294813,0.104908867,0.144026474,0.057743168,0.050751598,0.052626457,0.100941717,0.053707074,0.047234643,19.56,8.14
2015,11,0.254,0.085953962,0.089358234,0.100522637,0.079594764,0.092765597,0.101082448,0.140900324,0.057796706,0.050789391,0.052569688,0.098596852,0.053718595,0.044878257,20.19,7.842
2015,12,5.842,0.094060841,0.095128352,0.100739734,0.078210875,0.10453765,0.112059967,0.147925531,0.057839328,0.050770646,0.052514029,0.104666136,0.053708001,0.050958134,16.97,7.915
2015,13,1.016,0.096059869,0.098111989,0.103851419,0.077942777,0.101650082,0.110176467,0.151615957,0.057941108,0.050800776,0.052448497,0.105629794,0.053730127,0.051899667,17.46,6.751
2015,14,0,0.093652234,0.095054899,0.103333291,0.078056958,0.101559445,0.109297432,0.148704559,0.05798862,0.050810606,0.05241463,0.104236974,0.053737952,0.050499022,13.68,4.869
2015,15,0.254,0.091912518,0.092468227,0.101883541,0.077475975,0.097516103,0.105095545,0.146163629,0.058069964,0.050849207,0.052462287,0.101787934,0.053793819,0.047994115,17.32,3.902
2015,16,0,0.090337329,0.089508114,0.100450036,0.076748444,0.092130607,0.099585553,0.142914338,0.058074495,0.050826292,0.052497593,0.098810632,0.05379946,0.045011172,20.79,8.71
2015,17,0,0.089034473,0.086818022,0.098723742,0.075858879,0.089074319,0.095729735,0.139747116,0.058131987,0.050843843,0.052497959,0.096426612,0.053824596,0.042602016,22.11,6.407
2015,18,0,0.087863247,0.084183642,0.096744605,0.074806311,0.086447225,0.092345332,0.137123233,0.058179314,0.050850425,0.052505644,0.094216228,0.053845128,0.0403711,23.05,7.279
2015,19,0,0.086747571,0.081346995,0.094734427,0.073695881,0.083866645,0.088966047,0.134641498,0.0582979,0.050858643,0.052503814,0.091999866,0.053886786,0.03811308,25.16,8.74
2015,20,0,0.085577077,0.078387,0.092518831,0.072452576,0.081536582,0.085625855,0.132418962,0.058386395,0.050921589,0.052487957,0.089788126,0.05393198,0.035856146,24.37,7.958
2015,21,0,0.084110266,0.075938309,0.090314877,0.07121523,0.079433,0.082568031,0.130402877,0.058481412,0.050942072,0.052453072,0.087711799,0.053958852,0.033752946,19.9,6.464
2015,22,0,0.082500649,0.074259329,0.088091234,0.069901438,0.07809932,0.07982713,0.128553119,0.058616242,0.050921295,0.052414168,0.085890317,0.053983902,0.031906415,12,1.417
2015,23,0,0.080939819,0.07272431,0.086148964,0.068741482,0.07676264,0.077793991,0.127360441,0.058765438,0.050967627,0.052477659,0.084353093,0.054070241,0.030282851,17.53,2.064
2015,24,0,0.079223896,0.070821242,0.084228696,0.067755733,0.074328547,0.075284415,0.125891822,0.058855713,0.050936646,0.052576646,0.082504907,0.054123001,0.028381906,20.46,6.176
2015,25,0,0.0770652,0.06876456,0.082188266,0.066747307,0.072572716,0.072900682,0.124213664,0.058983271,0.050944753,0.052623094,0.080636056,0.054183706,0.02645235,21.98,9.44
2015,26,0,0.075082362,0.067419367,0.080612545,0.065808367,0.071252687,0.071225308,0.122699166,0.059219292,0.050940975,0.052634805,0.079157114,0.054265024,0.024892091,19.7,11.55
2015,27,0.254,0.073294356,0.066035919,0.079028291,0.065079481,0.071268143,0.070587624,0.12111376,0.05953375,0.050997215,0.052584743,0.078058225,0.054371903,0.023686322,22.78,8.52
2015,28,0,0.071640454,0.064258481,0.077091959,0.064082569,0.070476457,0.069645843,0.119516155,0.059860254,0.051015287,0.052573544,0.076673131,0.054483028,0.022190103,23.45,8.64
2015,29,1.524,0.070356833,0.062994645,0.075336349,0.063136225,0.07041708,0.069128598,0.118254497,0.060198681,0.051050272,0.052497967,0.075660604,0.054582307,0.021078297,22.86,9.58
2015,30,20.32,0.083857389,0.070502023,0.079034652,0.063103308,0.107681229,0.107083364,0.134044363,0.060545765,0.051073945,0.052406046,0.092186618,0.054675252,0.037511366,14.13,10.01
